id,chassis_id,name,slug,sizes,dimension,mass,cargo_capacity,crew,speed,foci,production_status,production_note,type,description,size,manufacturer_suggested_retail_price,pledge_url,skus,loaner,link,updated_at,crew_min,crew_max,crew_range,can_carry_cargo,manufacturer_code,manufacturer_name
45,4,Constellation Andromeda,constellation-andromeda,"{'length': 61, 'beam': 26, 'height': 14}","{'length': 61, 'width': 26, 'height': 14}",430057.0,96.0,"{'min': 3, 'max': 4}",190.0,Medium Freight,flight-ready,Damage States being mapped,multi,"The Constellation Andromeda, a multi-person freighter, is the most popular ship in RSI's current production array. Constellations are beloved by smugglers and merchants alike because they are modular, high powered... and just downright iconic-looking.",large,240.0,https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Andromeda,"[{'title': 'Standard Edition', 'price': 240, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Warbond Edition', 'price': 220, 'available': True, 'imported_at': '2024-09-18T00:00:32.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 240, 'available': True, 'imported_at': '2025-01-08T00:01:06.000000Z'}, {'title': 'Warbond Edition', 'price': 220, 'available': True, 'imported_at': '2025-12-01T00:00:58.000000Z'}]",P-52 Merlin,https://api.star-citizen.wiki/api/shipmatrix/vehicles/constellation-andromeda,2026-04-21 19:55:05+00:00,3.0,4,1.0,True,RSI,Roberts Space Industries
33,5,Freelancer MIS,freelancer-mis,"{'length': 38, 'beam': 23.5, 'height': 9.5}","{'length': 38, 'width': 23.5, 'height': 9.5}",236353.0,36.0,"{'min': 2, 'max': 4}",204.0,Gunship,flight-ready,None,combat,The Freelancer MIS is a limited edition militarized variant of the classic mercantile ship developed by the UEE. These were produced in very small quantity due to some early payload incidents. This version sacrifices the majority of the cargo capacity to make way for missiles. ,medium,175.0,https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-MIS,"[{'title': 'Warbond Edition', 'price': 165, 'available': True, 'imported_at': '2024-01-07T13:54:02.000000Z'}, {'title': 'Standard Edition', 'price': 175, 'available': True, 'imported_at': '2024-01-10T00:00:57.000000Z'}, {'title': 'Warbond Edition', 'price': 165, 'available': True, 'imported_at': '2024-11-25T00:00:52.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/freelancer-mis,2026-04-21 19:59:30+00:00,2.0,4,2.0,True,MISC,MISC
101,7,Avenger Warlock,avenger-warlock,"{'length': 22.5, 'beam': 16.5, 'height': 5.5}","{'length': 22.5, 'width': 16.5, 'height': 5.5}",50070.0,0.0,"{'min': 1, 'max': 1}",260.0,Interdiction,flight-ready,None,combat,"Outfitted with a Behring REP-8 EMP Generator, the Warlock makes non-lethal suppression possible via a powerful electromagnetic wave capable of disabling any electronics within the blast radius.

*This is the standard Avenger chassis with the Warlock EMP module pre-installed.*",small,85.0,https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Warlock,"[{'title': 'Warbond Edition', 'price': 80, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 85, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/avenger-warlock,2026-04-21 20:03:38+00:00,1.0,1,0.0,False,AEGS,Aegis Dynamics
130,51,Eclipse,eclipse,"{'length': 20.5, 'beam': 36.6, 'height': 4.4}","{'length': 20.5, 'width': 36.6, 'height': 4.4}",54216.0,0.0,"{'min': 1, 'max': 1}",210.0,Stealth Bomber,flight-ready,None,combat,"The Aegis Eclipse is a bomber designed to get in and strike before it's even spotted. After extensive service with the UEE, this high-tech military stalwart is making its debut on the civilian market for 2947.",medium,300.0,https://robertsspaceindustries.com/pledge/ships/eclipse/Eclipse,"[{'title': 'Warbond Edition', 'price': 280, 'available': True, 'imported_at': '2024-01-07T13:54:04.000000Z'}, {'title': 'Standard Edition', 'price': 300, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 300, 'available': True, 'imported_at': '2024-06-05T00:00:25.000000Z'}, {'title': 'Warbond Edition', 'price': 275, 'available': True, 'imported_at': '2024-06-15T00:00:31.000000Z'}, {'title': 'Warbond Edition', 'price': 275, 'available': True, 'imported_at': '2024-11-24T00:00:57.000000Z'}, {'title': 'Warbond Edition', 'price': 275, 'available': True, 'imported_at': '2025-07-12T00:00:46.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/eclipse,2026-04-21 20:03:31+00:00,1.0,1,0.0,False,AEGS,Aegis Dynamics
13,3,F7C-S Hornet Ghost Mk I,f7c-s-hornet-ghost-mk-i,"{'length': 22.5, 'beam': 21.5, 'height': 6.5}","{'length': 22.5, 'width': 21.5, 'height': 6.5}",73724.0,0.0,"{'min': 1, 'max': 1}",219.0,Stealth Fighter,flight-ready,None,combat,"Through a combination of low-emission drives, low-draw weapons, and Void Armor technology capable of diffusing scans, the F7C-S Ghost is built for the pilot who wants to keep a low profile. The Ghost is capable of slipping past the most ardent of observers to accomplish whatever goal you need to accomplish. Don't worry, we won't ask.",small,140.0,https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-S-Hornet-Ghost-Mk-I,"[{'title': 'Standard Edition ', 'price': 125, 'available': True, 'imported_at': '2024-01-07T13:54:02.000000Z'}, {'title': 'Standard Edition ', 'price': 140, 'available': True, 'imported_at': '2024-03-15T00:00:30.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/f7c-s-hornet-ghost-mk-i,2025-12-03 22:42:42+00:00,1.0,1,0.0,False,ANVL,Anvil Aerospace
87,24,Hull E,hull-e,"{'length': 372, 'beam': 104, 'height': 104}","{'length': 372, 'width': 104, 'height': 104}",1652000.0,12288.0,"{'min': 4, 'max': 5}",,Heavy Freight,in-concept,Concept complete,transport,"The largest specialized freighter available on the market today, the Hull E is generally owned by major corporations and operated with a high degree of planning. The lack of maneuverability inherent in such a large ship means that anyone planning to operate them should be careful about equipping turrets and providing escort. Their potential load (and modularity) is unparalleled, however: no other ship allows as much room to store goods or to modify towards another role!",capital,750.0,https://robertsspaceindustries.com/pledge/ships/hull/Hull-E,"[{'title': 'Warbond Edition', 'price': 675, 'available': True, 'imported_at': '2026-04-09T00:00:31.000000Z'}, {'title': 'Standard Edition', 'price': 750, 'available': True, 'imported_at': '2026-04-09T00:00:31.000000Z'}]",Hull C,https://api.star-citizen.wiki/api/shipmatrix/vehicles/hull-e,2026-04-08 16:13:35+00:00,4.0,5,1.0,True,MISC,MISC
26,13,Scythe,scythe,"{'length': 31, 'beam': 23, 'height': 8.5}","{'length': 31, 'width': 23, 'height': 8.5}",72091.0,0.0,"{'min': 1, 'max': 1}",222.0,Medium Fighter,flight-ready,None,combat,"Fast becoming the symbol of the Vanduul Race, the Scythe is the foot soldier in every raid and the target of every human fighter pilot. Featuring a hefty weapons payload, the Scythe's real asset is its maneuverability, found in the twin main and twelve manuevering thrusters.",small,300.0,https://robertsspaceindustries.com/pledge/ships/scythe/Scythe,[],,https://api.star-citizen.wiki/api/shipmatrix/vehicles/scythe,2025-07-18 15:21:14+00:00,1.0,1,0.0,False,VNCL,Vanduul
67,16,Mustang Gamma,mustang-gamma,"{'length': 21.5, 'beam': 18, 'height': 9}","{'length': 21.5, 'width': 18, 'height': 9}",30263.0,0.0,"{'min': 1, 'max': 1}",225.0,Racing,flight-ready,None,competition,"Consolidated Outland’s design and engineering teams have managed to tweak and refine the Mustang into an admirable racer. The end result, the Mustang Gamma, has smooth acceleration, and power on demand thanks to an innovative package featuring three powerful Magma Jet engines for maximum thrust.",small,55.0,https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Gamma,"[{'title': 'Standard Edition', 'price': 55, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/mustang-gamma,2025-12-03 21:53:03+00:00,1.0,1,0.0,False,CNOU,Consolidated Outland
35,19,Khartu-Al,khartu-al,"{'length': 30.5, 'beam': 13, 'height': 8}","{'length': 30.5, 'width': 13, 'height': 8}",72711.0,0.0,"{'min': 1, 'max': 1}",226.0,Light Fighter,flight-ready,None,combat,"The Xi'an Aopoa corporation manufactures an export model of the Qhire Khartu, the Khartu-al, for sale to Human civilians. The export model features the same Xi'an maneuvering rig, but control surfaces modified for Human use and a more limited armament.",small,175.0,https://robertsspaceindustries.com/pledge/ships/khartu/Khartu-Al,"[{'title': 'Warbond Edition', 'price': 160, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 170, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Warbond Edition', 'price': 160, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 175, 'available': True, 'imported_at': '2024-11-26T00:00:55.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/khartu-al,2025-12-03 22:41:00+00:00,1.0,1,0.0,False,XNAA,Aopoa
86,24,Hull D,hull-d,"{'length': 209, 'beam': 70, 'height': 70}","{'length': 209, 'width': 70, 'height': 70}",1216000.0,6912.0,"{'min': 3, 'max': 5}",,Heavy Freight,in-concept,Concept complete,transport,"The Hull D kicks off the larger end of the spectrum with a massive ship built around a rugged frame. The Hull D is affordable enough to be operated by mid-sized organizations and companies. Hull D are often used as flagships for mercantile operations, but their bulk means that they should be operated with escort fighters while not in safe space. The UEE military uses modified Hull D as part of their supply chain, arming and refueling the soldiers on the front line.",capital,550.0,https://robertsspaceindustries.com/pledge/ships/hull/Hull-D,"[{'title': 'Standard Edition', 'price': 550, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}]",Hull C,https://api.star-citizen.wiki/api/shipmatrix/vehicles/hull-d,2025-12-03 22:23:12+00:00,3.0,5,2.0,True,MISC,MISC
311,133,MOTH,moth,"{'length': 45, 'beam': 25, 'height': 15}","{'length': 45, 'width': 25, 'height': 15}",1169686.0,224.0,"{'min': 1, 'max': 4}",140.0,Medium Salvage,flight-ready,None,industrial,"A medium salvager built to bridge the gap between light salvage and full industrial undertakings. With Argo’s industrial heritage leading the design, the MOTH is the natural next step for those looking for team-driven, larger-scale operations.",medium,315.0,https://robertsspaceindustries.com/pledge/ships/moth/MOTH,"[{'title': 'Warbond Edition', 'price': 290, 'available': True, 'imported_at': '2026-02-13T00:00:14.000000Z'}, {'title': 'Standard Edition', 'price': 315, 'available': True, 'imported_at': '2026-02-13T00:00:14.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/moth,2026-02-11 15:49:51+00:00,1.0,4,3.0,True,ARGO,Argo Astronautics
156,4,Constellation Phoenix Emerald,constellation-phoenix-emerald,"{'length': 61, 'beam': 26, 'height': 14}","{'length': 61, 'width': 26, 'height': 14}",427001.0,80.0,"{'min': 3, 'max': 4}",200.0,Touring,flight-ready,None,exploration,"Whether you are a discerning socialite or a freewheeling party animal, the Constellation Phoenix Emerald is your personal passport to entertainment. With a swank interior cabin designed specifically for revelry, and a limited edition ""lucky"" paint job, the Emerald is the perfect venue to sip a glass of Radegast Gold or throw back a green Sleeping Tiger Malt while hurtling luxuriously through the stars. Just be sure to bring a designated pilot. The Phoenix Emerald comes with a Lynx rover and a Kruger P-72 Archimedes Fighter.",large,350.0,https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Phoenix-Emerald,"[{'title': 'Standard Edition', 'price': 350, 'available': True, 'imported_at': '2026-03-18T00:00:11.000000Z'}]",P-72 Archimedes,https://api.star-citizen.wiki/api/shipmatrix/vehicles/constellation-phoenix-emerald,2026-02-27 16:07:26+00:00,3.0,4,1.0,True,RSI,Roberts Space Industries
113,43,MPUV Personnel,mpuv-personnel,"{'length': 9, 'beam': 6.5, 'height': 4}","{'length': 9, 'width': 6.5, 'height': 4}",12187.0,0.0,"{'min': 1, 'max': 1}",170.0,Passenger,flight-ready,None,transport,"The ARGO Astronautics MPUV-1P (commonly ‘Argo Personnel.’) is geared towards a simple but incredibly important responsibility: moving groups of people from place to place. The UEE Navy uses MPUV-1Ps extensively, and any new recruit can likely recall those terrifying moments in which such a ship carried them to their first space assignment. In civilian hands, Argo Personnel ships are adapted for everything from standard taxi services to use as makeshift combat dropships. The ARGO is capable of carrying up to eight Humans and their equipment.",snub,40.0,https://robertsspaceindustries.com/pledge/ships/argo/MPUV-Personnel,"[{'title': 'Standard Edition', 'price': 40, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/mpuv-personnel,2026-04-21 20:00:16+00:00,1.0,1,0.0,False,ARGO,Argo Astronautics
117,46,Prowler,prowler,"{'length': 34, 'beam': 32, 'height': 15}","{'length': 34, 'width': 32, 'height': 15}",171700.0,0.0,"{'min': 2, 'max': 2}",200.0,Dropship,flight-ready,None,combat,"Named after the UPE military designation, the Prowler is a modernized version of the infamous Tevarin armored personnel carrier. Esperia’s astroengineers were given unmitigated access to study original versions of the ship recently discovered in the Kabal system to help meticulously reconstruct the vehicle. Now, the Prowler is the perfect fusion of two cultures: the elegance and effectiveness of the Tevarin war machine combined with the reliability of modern Human technology.   
",medium,440.0,https://robertsspaceindustries.com/pledge/ships/prowler/Prowler,"[{'title': 'Warbond Edition', 'price': 410, 'available': True, 'imported_at': '2024-01-07T13:54:04.000000Z'}, {'title': 'Warbond Edition', 'price': 410, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}, {'title': 'Standard Edition', 'price': 440, 'available': True, 'imported_at': '2024-02-28T00:00:34.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/prowler,2026-05-01 12:52:17+00:00,2.0,2,0.0,False,ESPR,Esperia
93,33,Glaive,glaive,"{'length': 31, 'beam': 20, 'height': 8}","{'length': 31, 'width': 20, 'height': 8}",76520.0,0.0,"{'min': 1, 'max': 1}",218.0,Medium Fighter,flight-ready,None,combat,"The Glaive is a symmetrical version of the Scythe. Generally flown by Vanduul with more combat experience, they are better armed and have two huge blades/wings as opposed to one on the standard Scythe.


This model is a human reproduction created by the manufacturer Esperia.
",medium,350.0,https://robertsspaceindustries.com/pledge/ships/esperia-glaive/Glaive,"[{'title': 'Standard Edition', 'price': 350, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Warbond Edition', 'price': 330, 'available': True, 'imported_at': '2024-06-13T00:00:30.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/glaive,2025-12-03 21:57:07+00:00,1.0,1,0.0,False,ESPR,Esperia
109,40,Prospector,prospector,"{'length': 24, 'beam': 15, 'height': 7}","{'length': 24, 'width': 15, 'height': 7}",116477.0,0.0,"{'min': 1, 'max': 1}",156.0,Mining,flight-ready,Available in Alpha 3.0,industrial,"For years, the Prospector has been the universe’s preferred mining vessel for solo operators. Featuring MISC’s sleek design sensibility and a bevy of upgraded high-tech mining tools, the 2947 Prospector balances form and functionality.",small,155.0,https://robertsspaceindustries.com/pledge/ships/misc-prospector/Prospector,"[{'title': 'Warbond Edition', 'price': 145, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 155, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Warbond Edition', 'price': 145, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}, {'title': 'Warbond Edition', 'price': 145, 'available': True, 'imported_at': '2024-02-09T00:00:13.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/prospector,2025-12-03 22:18:28+00:00,1.0,1,0.0,False,MISC,MISC
126,48,Razor,razor,"{'length': 11.5, 'beam': 8.2, 'height': 2.7}","{'length': 11.5, 'width': 8.2, 'height': 2.7}",10925.0,0.0,"{'min': 1, 'max': 1}",280.0,Racing,flight-ready,None,competition,Mirai makes a bid for the next Murray Cup with the all-new Razor. This advanced racer features an advanced composite spaceframe that puts pure speed ahead of everything else... it's the ship for pilots who want to leave the competition in the dust.,small,145.0,https://robertsspaceindustries.com/pledge/ships/razor/Razor,"[{'title': 'Warbond Edition', 'price': 135, 'available': True, 'imported_at': '2024-01-07T13:54:04.000000Z'}, {'title': 'Standard Edition', 'price': 145, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/razor,2025-12-03 22:35:08+00:00,1.0,1,0.0,False,MRAI,Mirai
129,50,Defender,defender,"{'length': 25.5, 'beam': 20, 'height': 8}","{'length': 25.5, 'width': 20, 'height': 8}",122930.0,0.0,"{'min': 1, 'max': 2}",222.0,Light Fighter,flight-ready,None,combat,"Meet the Banu Defender, a multi-crew fighter whose patchwork design highlights technology from a variety of species. Featuring modest accommodations for its crew and easy access to components, the Defender gets its name from the role it serves: the first line of defense against enemy attacks. That's why the Defender makes the ideal companion to the Merchantman: one to do the heavy hauling and the other to perform the deadly dogfighting.",small,220.0,https://robertsspaceindustries.com/pledge/ships/defender/Defender,"[{'title': 'Warbond Edition', 'price': 200, 'available': True, 'imported_at': '2024-01-07T13:54:04.000000Z'}, {'title': 'Standard Edition', 'price': 220, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/defender,2025-12-03 22:40:04+00:00,1.0,2,1.0,False,BANU,Banu
134,53,Cyclone,cyclone,"{'length': 6, 'beam': 4, 'height': 2.5}","{'length': 6, 'width': 4, 'height': 2.5}",3022.0,1.0,"{'min': 1, 'max': 2}",,Exploration,flight-ready,None,ground,"With a potent combination of speed, maneuverability, and rugged durability, the Cyclone is a perfect choice for local deliveries and transport between planetside homesteads and outposts.",vehicle,55.0,https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone,"[{'title': 'Standard Edition', 'price': 55, 'available': True, 'imported_at': '2024-01-07T13:54:04.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/cyclone,2025-12-03 22:20:16+00:00,1.0,2,1.0,True,TMBL,Tumbril
155,62,Vulcan,vulcan,"{'length': 38.5, 'beam': 16.5, 'height': 10}","{'length': 38.5, 'width': 16.5, 'height': 10}",625330.0,12.0,"{'min': 1, 'max': 3}",210.0,Medium Repair,in-concept,None,multi,"Refuel. Repair. Rearm. Become a one-person support crew with Aegis Dynamics’ versatile Vulcan, supplying aid to pilots on the fly. Whether pinned down under heavy fire and in need of ammunition, low on quantum fuel after an ill-planned jump, or stranded in unknown space with a busted thruster, a pilot in distress can always count on a Vulcan and its cadre of drones to lend speedy, efficient assistance. 

Outfit your Vulcan with eye-catching livery and become a beacon of hope, even in the darkest, most treacherous corners of the ‘verse.",medium,200.0,https://robertsspaceindustries.com/pledge/ships/vulcan/Vulcan,"[{'title': 'Standard Edition', 'price': 200, 'available': True, 'imported_at': '2024-01-10T00:00:59.000000Z'}, {'title': 'Warbond Edition', 'price': 185, 'available': True, 'imported_at': '2024-05-29T00:00:26.000000Z'}]",Starfarer,https://api.star-citizen.wiki/api/shipmatrix/vehicles/vulcan,2026-04-21 20:03:28+00:00,1.0,3,2.0,True,AEGS,Aegis Dynamics
179,54,Ursa Fortuna,ursa-fortuna,"{'length': 7.6, 'beam': 5.5, 'height': 2.2}","{'length': 7.6, 'width': 5.5, 'height': 2.2}",50357.0,0.0,"{'min': 1, 'max': 2}",,Exploration,flight-ready,None,ground,Fortune favors the bold. The most trusted name in all-terrain exploration embodies the essence of good fortune and success with this commemorative limited-edition Ursa Rover.,vehicle,55.0,https://robertsspaceindustries.com/pledge/ships/ursa/Ursa-Fortuna,"[{'title': 'Standard Edition', 'price': 55, 'available': True, 'imported_at': '2026-03-18T00:00:12.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/ursa-fortuna,2026-03-12 15:36:08+00:00,1.0,2,1.0,False,RSI,Roberts Space Industries
141,55,600i Explorer,600i-explorer,"{'length': 91.5, 'beam': 52, 'height': 17}","{'length': 91.5, 'width': 52, 'height': 17}",1576792.0,40.0,"{'min': 2, 'max': 5}",165.0,Expedition,flight-ready,None,exploration,"This multi-role luxury vessel from Origin Jumpworks features an exquisitely detailed hull design that balances performance and versatility in a sleek and timeless form. The 600i is designed with a cutting-edge modular technology, allowing you to customize your ship for your needs. Looking to stamp your name in history with the discovery of a new star system? The 600i's Explorer module swaps the lounge for a robust scanning station as well as additional utility hardpoints to increase the ship's effectiveness even more.",large,475.0,https://robertsspaceindustries.com/pledge/ships/600i/600i-Explorer,"[{'title': 'BIS Warbond Edition', 'price': 445, 'available': True, 'imported_at': '2024-01-07T13:54:04.000000Z'}, {'title': 'Warbond Edition', 'price': 445, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}, {'title': 'Standard Edition', 'price': 475, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}, {'title': 'Warbond Edition', 'price': 445, 'available': True, 'imported_at': '2024-02-09T00:00:13.000000Z'}, {'title': 'Warbond Edition', 'price': 445, 'available': True, 'imported_at': '2024-12-05T00:01:21.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 475, 'available': True, 'imported_at': '2025-05-07T00:00:59.000000Z'}]",Cyclone,https://api.star-citizen.wiki/api/shipmatrix/vehicles/600i-explorer,2026-03-25 23:00:33+00:00,2.0,5,3.0,True,ORIG,Origin Jumpworks
169,68,Valkyrie,valkyrie,"{'length': 46.5, 'beam': 15, 'height': 10.5}","{'length': 46.5, 'width': 15, 'height': 10.5}",621046.0,90.0,"{'min': 1, 'max': 5}",207.0,Dropship,flight-ready,None,combat,"In the days of antiquity, the Valkyrie were believed to choose who would live and who would die on the field of war. Now, Anvil is putting that choice in your hands. Seize fate and turn the tide of battle.

Rugged, high-performance jump seats safely transport up to twenty personnel into and out of the fray. A vehicle bay and speed ramp efficiently launch ground-based transport or reconnaissance vehicles for unmatched support. Four powerful VTOL thrusters facilitate surgically precise take-offs and landings, while a devastating array of weaponry blurs the line between dropship and gunship.",small,375.0,https://robertsspaceindustries.com/pledge/ships/anvil-valkyrie/Valkyrie,"[{'title': 'Warbond Edition', 'price': 350, 'available': True, 'imported_at': '2024-01-07T13:54:04.000000Z'}, {'title': 'Warbond Edition', 'price': 350, 'available': True, 'imported_at': '2024-01-10T00:00:59.000000Z'}, {'title': 'Standard Edition', 'price': 375, 'available': True, 'imported_at': '2024-02-25T00:00:54.000000Z'}, {'title': 'Warbond Edition', 'price': 350, 'available': True, 'imported_at': '2024-05-24T00:00:35.000000Z'}, {'title': 'Warbond Edition', 'price': 350, 'available': True, 'imported_at': '2024-07-13T00:01:11.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 375, 'available': True, 'imported_at': '2025-06-04T00:01:21.000000Z'}, {'title': 'Warbond Edition', 'price': 345, 'available': True, 'imported_at': '2025-07-12T00:00:48.000000Z'}]",F7C-M Super Hornet Mk I,https://api.star-citizen.wiki/api/shipmatrix/vehicles/valkyrie,2026-04-21 20:52:55+00:00,1.0,5,4.0,True,ANVL,Anvil Aerospace
